中国科学技术大学出版社 安微 7321
(澳门)澳门基金会 澳门 9728147
河北大学出版社 保定 781097
河北大学法律系儿 保定 731028
安徽文化音像出版社 北京 788413
奥林匹克出版社 北京 780067
八一出版社儿 北京 75081
宝文堂书店 北京 780030
北大 北京 73010
北方工业大学出版社 北京 77011
北京北大方正电子出版社 北京 7900619
北京北大方正电子出版社 北京 7900658
北京北影录音录像公司 北京 788005
北京伯通电子出版社 北京 7900112
北京博彦科技发展有限公司 北京 7900615
北京出版社 北京 7200
北京出版社 北京 72000
北京出版社 北京 720005
北京大学出版社 北京 7301
北京大学出版社 北京 73011
北京大学出版社 北京 7701
北京大学出版社 北京 77010
北京大学出版社 北京 781117
北京大学出版社 北京 788060
北京大学出版社 北京 7900620
北京大学出版社 北京 7900629
北京大学出版社 北京 7900632
北京大学出版社 北京 7900636
北京大学出版社 北京 7900656
北京大学出版社 北京 7900663
北京大学出版社 北京 7900684
北京大学医学出版社 北京 781071
北京大学医学出版社 北京 781116
北京大学音像出版社 北京 788015
北京电视艺术中心音像出版社 北京 788306
北京电子出版物出版中心 北京 7900097
北京电子出版物出版中心 北京 7900314
北京电子出版物出版中心 北京 7900361
北京电子出版物出版中心 北京 7900375
北京电子出版物出版中心出版 北京 7900345
北京电子音像出版社 北京 7900321
北京电子音像出版中心 北京 7900448
北京碟中碟软件科技发展有限公司 北京 788078
北京东方影音公司 北京 788009
北京东方影音公司 北京 788087
北京工业大学出版社 北京 75639
北京工业大学出版社 北京 75679
北京工艺美术出版社 北京 780526
北京古籍出版社 北京 75300
北京广播学院出版社 北京 781004
北京航空航天大学出版社 北京 781012
北京航空航天大学出版社 北京 781077
北京航空航天大学出版社 北京 781124
北京航空航天大学出版社 北京 781144
北京航空航天大学出版社 北京 7900640
北京航空航天大学出版社 北京 7900657
北京航空航天大学出版社 北京 7900669
北京环球音像出版社 北京 788072
北京交通大学出版社 北京 781082
北京教育出版社 北京 75303
北京金版电子出版公司 北京 7900072
北京金版电子出版公司 北京 7900085
北京金版电子出版公司 北京 7900110
北京经济学院出版社 北京 75638
北京科大电子出版社 北京 786451
北京科大电子出版社 北京 7900354
北京科海电子出版社 北京 789487
北京科海电子出版社 北京 7900107
北京科海电子出版社 北京 7900372
北京科海电子出版社 北京 7900394
北京科海电子出版社 北京 7900413
北京科海电子出版社 北京 7900420
北京科海电子出版社 北京 7900429
北京科海电子出版社 北京 7900520
北京科学技术出版社 北京 75304
北京科学技术出版社 北京 76304
北京科影音像出版社 北京 788056
北京理工大学出版社 北京 75640
北京理工大学出版社 北京 781013
北京理工大学出版社 北京 781045
北京理工大学出版社 北京 7900602
北京理工大学出版社 北京 7900621
北京理工大学出版社 北京 7900638
北京理工大学出版社 北京 7900694
北京理工大学出版社 北京 791013
北京旅游出版社 北京 780500
北京美术摄影出版社 北京 780501
北京农业大学出版社 北京 781002
北京普教电子音像出版社 北京 788302
北京普教电子音像出版社 北京 7900400
北京日报出版社 北京 780502
北京赛迪电子出版社 北京 7900116
北京赛迪电子出版社 北京 7900176
北京赛迪电子出版社 北京 7900203
北京少年儿童出版社 北京 75301
北京少年儿童出版社 北京 75301
北京师范大学出版社 北京 7303
北京师范大学出版社 北京 73030
北京师范大学出版社 北京 7900649
北京师范大学音像出版社 北京 788016
北京十月文艺出版社 北京 75302
北京市外文音像出版社 北京 788307
北京腾图电子出版社 北京 7900023
北京腾图电子出版社 北京 7900053
北京腾图电子出版社 北京 7900079
北京体育大学出版社 北京 75644
北京体育大学出版社 北京 781003
北京体育大学出版社 北京 781051
北京体育大学出版社 北京 781100
北京体育大学出版社 北京 788722
北京体育大学出版社 北京 7900708
北京天天文化艺术有限公司出版 北京 788007
北京图书馆出版社 北京 75013
北京外语音像出版社 北京 7980035
北京外语音像出版社，外语教学与研究出版社 北京 788080
北京伟地电子出版社 北京 7900027
北京希望电脑公司 北京 7900024
北京希望电脑公司 北京 7980011
北京希望电脑公司 北京 7980021
北京希望电脑公司 北京 7980023
北京希望电脑公司出品 北京 7980007
北京希望电脑公司出品 北京 7980019
北京希望电子出版社 北京 783002
北京希望电子出版社 北京 789498
北京希望电子出版社 北京 7900031
北京希望电子出版社 北京 7900044
北京希望电子出版社 北京 7900049
北京希望电子出版社 北京 7900056
北京希望电子出版社 北京 7900071
北京希望电子出版社 北京 7900088
北京希望电子出版社 北京 7900101
北京希望电子出版社 北京 7900118
北京希望电子出版社 北京 7980001
北京希望电子出版社 北京 7980002
北京希望电子出版社 北京 7980004
北京希望电子出版社 北京 7980008
北京希望电子出版社 北京 7980010
北京希望电子出版社 北京 7980015
北京希望电子出版社 北京 7980026
北京新华彩印厂印刷 北京 784601
北京燕山出版社 北京 75402
北京医科大学、中国协和医科大学联合出版 北京 781034
北京医科大学、中国协和医科大学联合出版社 北京 771034
北京艺术与科学电子出版社 北京 7900627
北京艺术与科学电子出版社 北京 7900722
北京艺术与科学电子出版社 北京 7900763
北京音乐家音像出版社 北京 788090
北京银冠出版社 北京 7900060
北京银冠电子出版有限公司 北京 789499
北京银冠电子出版有限公司 北京 7900034
